Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
RACN,03/07/2019,2021,3,13.29293156,-85.41314697,676,MEZCLA,Floracion Loca,783,12,1.53,Susceptibles
CARAZO,3/13/2019,2021,3,11.89000034,-86.22850037,670,MEZCLA,Hojas Nuevas Mayor al 30%,1067,122,11.43,Susceptibles
ESTELI,3/27/2019,2021,3,13.28468132,-86.24263763,1324,MEZCLA,Hojas Nuevas Mayor al 30%,429,95,22.14,Susceptibles
MADRIZ,3/29/2019,2021,3,13.34710026,-86.61039734,1354,MEZCLA,Hojas Nuevas Mayor al 30%,762,13,1.71,Susceptibles
GRANADA,3/13/2019,2021,3,11.8586998,-85.99259949,620,MEZCLA,Hojas Nuevas Mayor al 30%,1027,89,8.67,Susceptibles
MATAGALPA,03/07/2019,2021,3,12.73119736,-85.68525696,622,MEZCLA,Floracion Loca,583,7,1.2,Susceptibles
MATAGALPA,3/21/2019,2021,3,13.23980713,-85.61804962,675,MEZCLA,Floracion Loca,496,6,1.21,Susceptibles
JINOTEGA,3/16/2019,2021,3,13.61334324,-85.51489258,477,PACAS,Hojas Nuevas Mayor al 30%,1048,21,2,Susceptibles
MASAYA,3/28/2019,2021,3,11.867322,-86.153047,496,PACAS,Hojas Nuevas Mayor al 30%,501,23,4.59,Susceptibles
MASAYA,03/07/2019,2021,3,11.89271545,-86.11183929,463,PACAS,Hojas Nuevas Mayor al 30%,729,140,19.2,Susceptibles
MATAGALPA,3/15/2019,2021,3,12.82761002,-85.81990814,808,PARAINEMA,Floracion Loca,890,14,1.57,Resistentes
RACS,03/08/2019,2021,3,11.66902161,-84.45924377,188,ROBUSTA TROPICAL,Floraci½n,729,0,0,Resistentes
RACS,03/07/2019,2021,3,11.7489996,-84.42539978,186,ROBUSTA TROPICAL,Floraci½n Principal,796,5,0.63,Resistentes
