Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
MATAGALPA,10/05/2019,2019,10,12.8632412,-85.90609741,1131,CATURRA,Madurez Fisiol¢gica,536,68,12.69,Susceptibles
NUEVA SEGOVIA,10/29/2019,2019,10,13.76210022,-86.51080322,1142,CATURRA,Fruto Consistente,758,34,4.49,Susceptibles
JINOTEGA,04/08/2019,2019,4,13.25699997,-86.03489685,1157,CATURRA,Hojas Nuevas Mayor al 30%,1242,33,2.66,Susceptibles
ESTELI,05/08/2019,2019,5,13.28052044,-86.24554443,1322,CATURRA,Hojas Nuevas Mayor al 30%,737,100,13.57,Susceptibles
ESTELI,2/28/2019,2019,2,13.28052044,-86.24554443,1322,CATURRA,Madurez Fisiol¢gica,380,103,27.11,Susceptibles
MATAGALPA,2/13/2019,2019,2,12.98130035,-85.80039978,769,CATURRA,Hojas Nuevas Mayor al 30%,555,25,4.5,Susceptibles
MATAGALPA,07/10/2019,2019,7,12.98130035,-85.80039978,769,CATURRA,Madurez Fisiol¢gica,687,17,2.47,Susceptibles
ESTELI,04/04/2019,2019,4,13.27589989,-86.49649811,1422,CATURRA,Hojas Nuevas Mayor al 30%,274,16,5.84,Susceptibles
NUEVA SEGOVIA,05/07/2019,2019,5,13.77740002,-86.6115036,1245,CATURRA,Floracion Loca,492,0,0,Susceptibles
ESTELI,1/29/2019,2019,1,13.28052044,-86.24554443,1322,CATURRA,Madurez Fisiol¢gica,688,110,15.99,Susceptibles
ESTELI,3/27/2019,2019,3,13.28052044,-86.24554443,1322,CATURRA,Hojas Nuevas Mayor al 30%,478,116,24.27,Susceptibles
JINOTEGA,05/03/2019,2019,5,13.24960041,-86.1937027,1310,CATURRA,Floracion Loca,1136,18,1.58,Susceptibles
MATAGALPA,6/14/2019,2019,6,12.7755003,-85.81130219,841,CATURRA,Fruto Consistente,699,18,2.58,Susceptibles
MATAGALPA,2/16/2019,2019,2,12.7755003,-85.81130219,841,CATURRA,Hojas Nuevas Mayor al 30%,707,39,5.52,Susceptibles
