Date;Tair;RAD;Tmax;Tmin;RH;Rain
14/05/2013;18.493;1.692;25.75493529;18.28677059;82.14582378;12.14901486
15/05/2013;19.204;5.696;24.747;19.3112;88.03332304;17.65099232
16/05/2013;17.817;3.541;23.22574118;19.5733;93.64968946;14.52353048
17/05/2013;19.225;12.821;22.76490588;19.35397647;92.77669534;13.67058796
18/05/2013;19.516;13.144;23.71429412;19.37816471;88.17069363;3.213726441
19/05/2013;19.284;8.773;24.37991765;18.55185294;85.85783186;4.982351982
20/05/2013;18.825;7.912;25.83150588;17.71487059;84.90657328;9.058823435
21/05/2013;20.069;13.548;25.22428235;18.34989412;88.00971299;18.55097788
22/05/2013;20.118;13.909;24.65805294;19.29462353;89.62086569;30.67451132
23/05/2013;19.846;11.637;24.45242941;19.56883529;89.13159951;1.609804141
24/05/2013;18.882;1.829;26.08367647;19.04216471;80.75633603;0.164705935
25/05/2013;19.616;12.77;27.04447059;19.49954118;76.63355956;0.005882353
26/05/2013;19.299;9.185;26.24903529;18.31617059;78.30676985;0.272549018
27/05/2013;17.87;5.641;25.85294706;18.65717059;83.91518995;5.539216241
28/05/2013;18.366;16.556;25.42588824;18.61387647;86.5742076;9.511765218
29/05/2013;19.276;19.364;25.39549412;18.62802353;85.40694191;4.035296029
30/05/2013;19.846;18.909;25.55045882;19.28819412;86.17944632;7.364706447
31/05/2013;19.866;13.061;24.93720588;18.62271176;85.95653676;6.254902259
01/06/2013;20.967;21.387;24.86697647;18.26901765;85.1428299;4.219607024
02/06/2013;21.177;16.332;24.98501176;18.65164118;88.03325147;13.88038641
03/06/2013;21.052;13.87;25.72465882;19.4573;86.66755613;6.721568482
04/06/2013;19.839;10.835;26.22261176;19.70094118;83.90646299;1.637254429
05/06/2013;20.411;18.272;26.83208824;20.23157647;84.03727206;2.154900194
06/06/2013;19.983;14.65;27.43898235;19.91445294;78.60703113;0.462745112
07/06/2013;19.779;9.745;26.08378235;19.17368824;79.14621103;1.431372971
08/06/2013;19.822;8.161;25.6938;18.55278824;86.3496652;8.574506547
09/06/2013;19.725;11.664;25.36374706;20.30867059;89.51647794;23.15490122
10/06/2013;19.539;9.039;26.63544118;19.11668235;83.31934681;6.223526082
11/06/2013;20.065;12.255;25.22974118;19.10704118;87.39903873;8.817646324
12/06/2013;19.752;9.489;23.42705882;18.30992353;90.81633921;6.688235571
13/06/2013;20.906;15.858;25.97701765;17.51104706;81.43336667;5.041175112
14/06/2013;19.688;6.493;25.95040588;19.48158824;83.66010319;4.249020588
15/06/2013;20.28;14.56;25.84675294;19.28557647;86.28883456;10.08038984
16/06/2013;20.16;6.117;23.6768;19.57534118;90.45727525;14.21764761
17/06/2013;19.968;4.765;24.39304706;18.78295882;83.87548799;1.131372612
18/06/2013;20.717;14.296;25.28352941;18.70011176;85.21118603;2.7941175
19/06/2013;21.025;15.418;25.16588824;18.61570588;86.39110711;6.205882659
20/06/2013;20.205;6.389;25.59719412;19.269;86.37618995;11.64313616
21/06/2013;18.89;3.086;23.9422;19.49378824;88.27566005;12.72941244
22/06/2013;18.532;1.302;23.61711765;19.38982353;90.93838946;14.10980295
23/06/2013;19.9;9.851;25.9834;18.05319412;78.45294412;1.829412235
24/06/2013;21.371;19.344;25.7006;17.64457647;83.83846054;5.462743694
25/06/2013;20.54;8.585;25.74521765;19.56659412;86.30368333;10.16470655
26/06/2013;20.198;9.249;24.85140588;18.71898235;85.14560049;6.172549218
27/06/2013;19.242;1.487;26.4254;19.13827647;82.82537573;1.917647406
28/06/2013;20.494;11.915;26.29055294;19.84741176;86.96083529;5.066666065
29/06/2013;20.131;11.047;26.13747647;18.46456471;85.7494701;8.662741706
30/06/2013;19.314;9.103;25.47924706;19.8127;86.01063235;7.643136894
01/07/2013;19.637;17.308;24.12122941;19.64367059;84.42828211;1.380392176
02/07/2013;20.566;14.545;24.96024118;18.02934706;86.21988946;5.886273871
03/07/2013;19.405;2.333;25.16631176;19.05846471;88.29104927;15.77254792
04/07/2013;19.773;11.798;25.53137647;19.85015882;87.78310049;4.074509488
05/07/2013;20.322;12.441;25.76766471;19.82342941;86.08318309;9.266669347
06/07/2013;18.756;0.878;26.65402941;19.79378824;83.17327892;1.639216153
07/07/2013;18.992;8.268;26.29562353;18.029;81.97067402;0.721568647
08/07/2013;18.825;10.872;25.96092941;19.35977059;86.56204877;6.841176176
09/07/2013;19.265;13.341;25.30134706;19.84737059;88.70030098;2.299999641
10/07/2013;19.178;13.496;26.18591765;20.09824118;86.64639118;5.756862994
11/07/2013;19.084;8.435;26.85273529;19.21760588;83.00489142;7.268626941
12/07/2013;18.832;10.808;26.23380588;20.04289412;85.29888064;15.25882845
13/07/2013;19.253;13.951;25.07897647;19.47691176;89.45808848;17.0156865
14/07/2013;19.47;8.01;24.62197059;19.93625882;90.43314657;14.77843124
15/07/2013;19.848;13.073;25.59173529;19.47791176;87.48503235;9.7607845
16/07/2013;20.25;17.225;26.25891765;19.44195882;82.99885441;7.464705641
17/07/2013;19.3;8.07;26.37185294;19.83464706;86.78738162;8.098036847
18/07/2013;18.981;7.39;25.78448824;19.52871765;84.59276446;5.182354812
19/07/2013;19.289;14.54;26.53248824;20.255;84.38349976;2.741175529
20/07/2013;17.909;7.563;27.48272941;19.19454118;78.65548995;0.878431488
21/07/2013;19.53;21.946;24.32039412;19.05814706;84.8308826;7.780391459
22/07/2013;19.981;17.067;26.51159412;19.74641176;86.97282476;5.835294118
23/07/2013;18.919;4.272;27.66455882;20.21285882;85.16288603;17.41371928
24/07/2013;19.65;3.967;27.10057647;19.50677647;85.00459804;4.035293147
25/07/2013;19.876;13.036;26.96030588;19.38467647;84.31092721;7.768627229
26/07/2013;19.024;8.247;26.06787059;19.59219412;87.10614534;33.49410999
27/07/2013;20.05;17.595;26.55657647;19.62145294;86.18336716;7.207840424
28/07/2013;18.977;3.12;27.21886471;19.48245882;83.72697083;5.778429235
29/07/2013;19.99;15.59;26.03571765;19.94301765;84.25277941;7.768626624
30/07/2013;19.314;7.975;27.02696471;19.94825294;81.33524216;4.829411941
31/07/2013;18.396;10.268;25.84107647;20.10164706;86.60107917;6.886274506
01/08/2013;20.3;21.128;27.15065294;19.02873529;83.18333824;1.829411924
02/08/2013;20.67;18.996;26.75434706;19.4879;82.51058971;1.331372818
03/08/2013;20.102;12.456;25.75747059;20.32444706;88.37246985;8.6882338
