Regiones,Fecha,Mes,Year,Fec,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,cat_Variedad,tipo_de_datos
Comayagua,1/24/2018,Enero,2018,1,14.38000011,-87.31999969,1124,CATIMOR,Madurez Fisiologica,422,12,2.84,Medianamente_resistentes,a realizar
Santa Barbara,1/25/2018,Enero,2018,1,14.76819992,-88.40409851,1177,LEMPIRA,Madurez Fisiologica,676,4,0.59,Medianamente_resistentes,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.26396942,-87.93857574,1254,LEMPIRA,Madurez Fisiologica,841,4,0.48,Medianamente_resistentes,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,15,-88.69999695,1178,LEMPIRA,Madurez Fisiologica,749,9,1.2,Medianamente_resistentes,a realizar
Olancho,1/24/2018,Enero,2018,1,14.2360096,-86.38822174,1220,LEMPIRA,Madurez Fisiologica,994,13,1.31,Medianamente_resistentes,a realizar
Cortes,1/25/2018,Enero,2018,1,15.31000042,-85.44999695,1120,LEMPIRA,Madurez Fisiologica,1043,0,0,Medianamente_resistentes,a realizar
Copan,1/25/2018,Enero,2018,1,14.43050003,-88.45580292,1350,LEMPIRA,Madurez Fisiologica,586,16,2.73,Medianamente_resistentes,a realizar
Santa Barbara,1/25/2018,Enero,2018,1,14.78444958,-88.39630127,1333,LEMPIRA,Madurez Fisiologica,608,0,0,Medianamente_resistentes,a realizar
El Paraiso,1/28/2018,Enero,2018,1,14.13134766,-86.00975037,1216,LEMPIRA,Hojas Nuevas Mayor al 30%,671,3,0.45,Medianamente_resistentes,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.21290112,-87.9890976,1200,MEZCLA,Madurez Fisiologica,1068,7,0.66,Medianamente_resistentes,a realizar
Francisco Morazan,1/26/2018,Enero,2018,1,14.65542126,-86.87128448,1378,LEMPIRA,Madurez Fisiologica,815,7,0.86,Medianamente_resistentes,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,15.1163578,-88.32566833,1165,CATIMOR,Madurez Fisiologica,765,1,0.13,Medianamente_resistentes,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.77890015,-87.4960022,1367,LEMPIRA,Madurez Fisiologica,675,18,2.67,Medianamente_resistentes,a realizar
Francisco Morazan,1/22/2018,Enero,2018,1,13.73857594,-86.91262817,1254,LEMPIRA,Madurez Fisiologica,700,19,2.71,Medianamente_resistentes,a realizar
El Paraiso,1/23/2018,Enero,2018,1,14.35000038,-86.73000336,1286,LEMPIRA,Fruto Consistente,762,0,0,Medianamente_resistentes,a realizar
Olancho,1/26/2018,Enero,2018,1,14.98880005,-86.37689972,1200,LEMPIRA,Madurez Fisiologica,960,0,0,Medianamente_resistentes,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.67230034,-87.45410156,1213,LEMPIRA,Madurez Fisiologica,718,0,0,Medianamente_resistentes,a realizar
Copan,1/24/2018,Enero,2018,1,14.39999962,-89,1272,LEMPIRA,Madurez Fisiologica,1289,0,0,Medianamente_resistentes,a realizar
El Paraiso,1/23/2018,Enero,2018,1,14.26000023,-86.70999908,1172,LEMPIRA,Fruto Consistente,697,6,0.86,Medianamente_resistentes,a realizar
Copan,1/25/2018,Enero,2018,1,14.45408154,-88.88308716,1357,CATIMOR,Madurez Fisiologica,1286,0,0,Medianamente_resistentes,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.25107574,-87.89496613,1403,LEMPIRA,Madurez Fisiologica,1225,0,0,Medianamente_resistentes,a realizar
Olancho,1/24/2018,Enero,2018,1,14.95730019,-86.16501617,1209,LEMPIRA,Madurez Fisiologica,1028,4,0.39,Medianamente_resistentes,a realizar
Copan,1/24/2018,Enero,2018,1,14.5,-88.44000244,1205,LEMPIRA,Madurez Fisiologica,1078,2,0.19,Medianamente_resistentes,a realizar
Olancho,1/23/2018,Enero,2018,1,14.57487488,-86.72502899,1377,LEMPIRA,Madurez Fisiologica,1622,0,0,Medianamente_resistentes,a realizar
Comayagua,1/23/2018,Enero,2018,1,14.26210022,-87.82250214,1450,LEMPIRA,Madurez Fisiologica,462,6,1.3,Medianamente_resistentes,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.17924213,-88.23921204,1499,LEMPIRA,Madurez Fisiologica,770,10,1.3,Medianamente_resistentes,a realizar
El Paraiso,1/22/2018,Enero,2018,1,13.84145164,-86.84843445,1470,LEMPIRA,Madurez Fisiologica,758,0,0,Medianamente_resistentes,a realizar
Santa Barbara,1/22/2018,Enero,2018,1,15.137784,-88.30120087,1123,LEMPIRA,Madurez Fisiologica,1055,11,1.04,Medianamente_resistentes,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.40999985,-87.30999756,1247,LEMPIRA,Madurez Fisiologica,641,6,0.94,Medianamente_resistentes,a realizar
Comayagua,1/23/2018,Enero,2018,1,14.5,-87.5,1424,LEMPIRA,Madurez Fisiologica,614,4,0.65,Medianamente_resistentes,a realizar
El Paraiso,1/25/2018,Enero,2018,1,14.15282059,-86.78217316,1360,LEMPIRA,Madurez Fisiologica,827,8,0.97,Medianamente_resistentes,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.47999954,-88.26999664,1331,LEMPIRA,Madurez Fisiologica,709,6,0.85,Medianamente_resistentes,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,14.80000019,-88.45999908,1390,LEMPIRA,Madurez Fisiologica,664,0,0,Medianamente_resistentes,a realizar
Copan,1/24/2018,Enero,2018,1,14.53740025,-88.46199799,1158,LEMPIRA,Madurez Fisiologica,1013,4,0.39,Medianamente_resistentes,a realizar
Copan,1/24/2018,Enero,2018,1,14.59801197,-88.97425079,1270,LEMPIRA,Fin de Cosecha,560,1,0.18,Medianamente_resistentes,a realizar
Santa Barbara,3/31/2018,Marzo,2018,3,14.96000004,-88.08000183,1293,CATUAI,Madurez Fisiologica,1163,120,10.32,Susceptibles,a realizar
Copan,3/27/2018,Marzo,2018,3,14.67031384,-89.0611496,1125,CATUAI,Floracion,664,7,1.05,Susceptibles,a realizar
Copan,1/25/2018,Enero,2018,1,14.43840408,-88.87591553,1277,PACAS,Madurez Fisiologica,1378,0,0,Susceptibles,a realizar
Copan,3/31/2018,Marzo,2018,3,14.80000019,-88.5,1358,PACAS,Floracion,1562,186,11.91,Susceptibles,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,15.12261391,-88.3114624,1360,CATUAI,Madurez Fisiologica,915,10,1.09,Susceptibles,a realizar
Santa Barbara,3/30/2018,Marzo,2018,3,15.13298512,-88.33998871,1374,CATUAI,Madurez Fisiologica,802,3,0.37,Susceptibles,a realizar
Comayagua,1/26/2018,Enero,2018,1,14.89006901,-87.59043121,1125,CATUAI,Madurez Fisiologica,569,86,15.11,Susceptibles,a realizar
Comayagua,3/28/2018,Marzo,2018,3,14.31999969,-87.29000092,1466,CATURRA,Floracion,602,97,16.11,Susceptibles,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.80410004,-87.5134964,1277,CATUAI,Madurez Fisiologica,613,293,47.8,Susceptibles,a realizar
Copan,1/26/2018,Enero,2018,1,15,-88.90000153,1313,CATUAI,Hojas Nuevas Mayor al 30%,867,39,4.5,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.56000042,-88.62000275,1140,CATUAI,Floracion,764,31,4.06,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.69999981,-89.09999847,1363,CATUAI,Floracion,812,9,1.11,Susceptibles,a realizar
Copan,3/30/2018,Marzo,2018,3,14.83341789,-88.56408691,1198,PACAS,Floracion,1281,290,22.64,Susceptibles,a realizar
Santa Barbara,3/30/2018,Marzo,2018,3,14.87769985,-88.41269684,1208,CATUAI,Hojas Nuevas Mayor al 30%,451,57,12.64,Susceptibles,a realizar
Cortes,1/25/2018,Enero,2018,1,15.11009979,-87.41359711,1428,CATUAI,Inicio de Cosecha,926,143,15.44,Susceptibles,a realizar
Santa Barbara,3/30/2018,Marzo,2018,3,14.50986004,-88.25153351,1435,CATUAI,Madurez Fisiologica,589,24,4.07,Susceptibles,a realizar
Copan,1/24/2018,Enero,2018,1,14.49124241,-89.15490723,1113,CATUAI,Madurez Fisiologica,804,120,14.93,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.6176672,-88.78840637,1375,CATUAI,Floracion,830,9,1.08,Susceptibles,a realizar
Santa Barbara,3/31/2018,Marzo,2018,3,14.57409954,-88.52320099,1444,CATUAI,Madurez Fisiologica,569,6,1.05,Susceptibles,a realizar
Comayagua,3/28/2018,Marzo,2018,3,14.57135296,-87.90657043,1420,PACAS,Hojas Nuevas Mayor al 30%,666,7,1.05,Susceptibles,a realizar
Comayagua,3/28/2018,Marzo,2018,3,14.25,-87.47000122,1400,CATUAI,Hojas Nuevas Mayor al 30%,615,156,25.37,Susceptibles,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.84921074,-87.56242371,1421,CATUAI,Madurez Fisiologica,267,74,27.72,Susceptibles,a realizar
El Paraiso,1/23/2018,Enero,2018,1,14.10999966,-86.72000122,1332,CATUAI,Madurez Fisiologica,831,146,17.57,Susceptibles,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.23999977,-87.81999969,1460,CATUAI,Madurez Fisiologica,1070,32,2.99,Susceptibles,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.35000038,-87.30000305,1150,ICATU,Hojas Nuevas Mayor al 30%,413,113,27.36,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.39999962,-89,1206,PACAS,Hojas Nuevas Mayor al 30%,1139,0,0,Susceptibles,a realizar
Copan,1/26/2018,Enero,2018,1,14.30000019,-88.5,1409,CATUAI,Madurez Fisiologica,738,17,2.3,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.66378975,-88.96663666,1490,CATUAI,Floracion Loca,621,20,3.22,Susceptibles,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,14.87520027,-88.49069977,1228,CATUAI,Madurez Fisiologica,736,163,22.15,Susceptibles,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.25,-87.47000122,1285,CATUAI,Madurez Fisiologica,792,80,10.1,Susceptibles,a realizar
Copan,3/27/2018,Marzo,2018,3,14.60000038,-88.80999756,1164,CATUAI,Floracion,1550,3,0.19,Susceptibles,a realizar
Comayagua,3/27/2018,Marzo,2018,3,14.25,-87.47000122,1285,CATUAI,Hojas Nuevas Mayor al 30%,308,38,12.34,Susceptibles,a realizar
Santa Barbara,1/23/2018,Enero,2018,1,14.57509995,-88.52269745,1437,CATUAI,Madurez Fisiologica,528,21,3.98,Susceptibles,a realizar
Comayagua,3/28/2018,Marzo,2018,3,14.60000038,-87.90000153,1314,CATUAI,Floracion Loca,818,96,11.74,Susceptibles,a realizar
Francisco Morazan,1/25/2018,Enero,2018,1,14.41399956,-87.28469849,1445,CATUAI,Floracion,748,30,4.01,Susceptibles,a realizar
Santa Barbara,3/31/2018,Marzo,2018,3,14.87080002,-88.4654007,1300,CATUAI,Madurez Fisiologica,603,62,10.28,Susceptibles,a realizar
Comayagua,1/23/2018,Enero,2018,1,14.31999969,-87.29000092,1466,CATURRA,Madurez Fisiologica,755,123,16.29,Susceptibles,a realizar
Comayagua,3/29/2018,Marzo,2018,3,14.85779953,-87.5561676,1270,CATUAI,Hojas Nuevas Mayor al 30%,739,94,12.72,Susceptibles,a realizar
Francisco Morazan,3/31/2018,Marzo,2018,3,14.35099983,-87.32479858,1431,CATUAI,Floracion,608,20,3.29,Susceptibles,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,15.13850403,-88.33464813,1416,CATUAI,Madurez Fisiologica,721,3,0.42,Susceptibles,a realizar
Copan,3/29/2018,Marzo,2018,3,14.69999981,-89.09999847,1222,CATUAI,Floracion,705,5,0.71,Susceptibles,a realizar
Comayagua,3/29/2018,Marzo,2018,3,14.2106657,-88.06571198,1248,CATUAI,Floracion Principal,992,6,0.6,Susceptibles,a realizar
Francisco Morazan,1/23/2018,Enero,2018,1,14.37356663,-86.82189178,1116,CATUAI,Madurez Fisiologica,585,147,25.13,Susceptibles,a realizar
Copan,1/25/2018,Enero,2018,1,14.6176672,-88.78840637,1375,CATUAI,Madurez Fisiologica,952,22,2.31,Susceptibles,a realizar
Copan,1/26/2018,Enero,2018,1,14.58747578,-89.10412598,1457,CATUAI,Madurez Fisiologica,686,0,0,Susceptibles,a realizar
Copan,1/24/2018,Enero,2018,1,14.5259304,-88.88973999,1200,CATUAI,Madurez Fisiologica,541,23,4.25,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.58747578,-89.10412598,1457,CATUAI,Floracion,739,37,5.01,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.48569965,-88.59230042,1187,ICATU,Floracion Loca,1066,37,3.47,Susceptibles,a realizar
Santa Barbara,3/28/2018,Marzo,2018,3,15.12261391,-88.3114624,1360,CATUAI,Madurez Fisiologica,874,2,0.23,Susceptibles,a realizar
Comayagua,3/31/2018,Marzo,2018,3,14.56362152,-87.91187286,1341,CATUAI,Floracion Loca,677,138,20.38,Susceptibles,a realizar
Francisco Morazan,3/27/2018,Marzo,2018,3,14.61325073,-86.77362061,1327,CATUAI,Floracion,847,84,9.92,Susceptibles,a realizar
Francisco Morazan,1/23/2018,Enero,2018,1,14.36901474,-86.8718338,1378,CATUAI,Madurez Fisiologica,720,22,3.06,Susceptibles,a realizar
Copan,3/30/2018,Marzo,2018,3,14.65308475,-89.10975647,1253,CATUAI,Floracion,716,7,0.98,Susceptibles,a realizar
Comayagua,1/23/2018,Enero,2018,1,14.32999992,-87.29000092,1395,CATURRA,Madurez Fisiologica,474,137,28.9,Susceptibles,a realizar
Copan,1/23/2018,Enero,2018,1,14.69999981,-89.09999847,1363,CATUAI,Fin de Cosecha,688,10,1.45,Susceptibles,a realizar
