Regiones,Fecha,Mes,Year,Fec,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,cat_Variedad,tipo_de_datos
Francisco Morazan,5/24/2017,Mayo,2017,5,14.42599964,-87.3234024,1370,CATUAI,Formacion de Fruto,806,43,5.34,Susceptibles,a realizar
Copan,7/18/2017,Julio,2017,7,14.81343365,-88.5480423,1362,PACAS,Fruto Consistente,1833,60,3.27,Susceptibles,a realizar
Cortes,7/25/2017,Julio,2017,7,15.09132957,-87.2821579,1208,CATUAI,Fruto Consistente,611,23,3.76,Susceptibles,a realizar
Copan,3/29/2018,Marzo,2018,3,14.39710045,-88.47579956,1450,CATUAI,Hojas Nuevas Mayor al 30%,581,99,17.04,Susceptibles,a realizar
Copan,7/19/2017,Julio,2017,7,14.58747578,-89.10412598,1457,CATUAI,Fruto Consistente,609,0,0,Susceptibles,a realizar
Francisco Morazan,7/18/2017,Julio,2017,7,14.61325073,-86.77362061,1327,CATUAI,Fruto Consistente,738,34,4.61,Susceptibles,a realizar
Olancho,3/30/2018,Marzo,2018,3,14.68593979,-86.53935242,1204,CATUAI,Floracion,1077,18,1.67,Susceptibles,a realizar
Cortes,3/27/2018,Marzo,2018,3,15.11009979,-87.41359711,1428,CATUAI,Madurez Fisiologica,1166,199,17.07,Susceptibles,a realizar
Comayagua,3/30/2018,Marzo,2018,3,14.32999992,-87.29000092,1395,CATURRA,Fin de Cosecha,470,88,18.72,Susceptibles,a realizar
Copan,8/16/2017,Agosto,2017,8,14.69999981,-89.09999847,1180,CATUAI,Desarrollo,686,10,1.46,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.56459999,-88.56189728,1308,CATUAI,Floracion Loca,698,23,3.3,Susceptibles,a realizar
Santa Barbara,5/23/2017,Mayo,2017,5,14.84490013,-88.42375183,1497,CATUAI,Fruto Consistente,481,45,9.36,Susceptibles,a realizar
Copan,5/24/2017,Mayo,2017,5,14.6176672,-88.78840637,1375,CATUAI,Hojas Nuevas de 15.1% A 30%,1210,10,0.83,Susceptibles,a realizar
Copan,3/31/2018,Marzo,2018,3,14.6534586,-89.07318115,1126,CATUAI,Floracion,924,11,1.19,Susceptibles,a realizar
Santa Barbara,9/19/2017,Septiembre,2017,9,14.58310032,-88.53559875,1193,CATUAI,Fruto Consistente,761,60,7.88,Susceptibles,a realizar
Comayagua,7/19/2017,Julio,2017,7,14.25,-87.47000122,1285,CATUAI,Formacion de Fruto,765,58,7.58,Susceptibles,a realizar
Santa Barbara,3/24/2017,Marzo,2017,3,14.89999962,-88.40000153,1157,CATUAI,Floracion Principal,493,99,20.08,Susceptibles,a realizar
Copan,9/21/2017,Septiembre,2017,9,14.49124241,-89.15490723,1113,CATUAI,Fruto Consistente,782,132,16.88,Susceptibles,a realizar
Copan,3/31/2018,Marzo,2018,3,14.39999962,-88.40000153,1330,CATUAI,Hojas Nuevas Mayor al 30%,573,13,2.27,Susceptibles,a realizar
Comayagua,9/20/2017,Septiembre,2017,9,14.2106657,-88.06571198,1248,CATUAI,Fruto Consistente,1150,12,1.04,Susceptibles,a realizar
