fecha,pais,altitud,variedad,incidencia
19/10/2017,honduras,1063,catuai,0.95
24/10/2017,honduras,1092,catuai,13.34
18/10/2017,honduras,1068,pacamara,14.95
17/10/2017,honduras,890,mezcla,3.75
17/10/2017,honduras,1193,catuai,12.15
19/10/2017,honduras,1173,catuai,12.04
18/10/2017,honduras,1030,java,0.22
18/10/2017,honduras,959,villa sarchi,4.54
16/10/2017,honduras,1180,catuai,0
16/10/2017,honduras,1080,catuai,16.9
18/10/2017,honduras,913,pacas,22.43
19/10/2017,honduras,1030,catuai,3.55
19/10/2017,honduras,1085,catuai,24.74
18/10/2017,honduras,756,catuai,10.28
24/10/2017,honduras,1157,catuai,16.89
16/10/2017,honduras,1134,catuai,1.31
17/10/2017,honduras,1108,caturra,33.06
19/10/2017,honduras,1105,catuai,16.21
19/10/2017,honduras,1140,catuai,7.61
21/10/2017,honduras,980,catuai,3.61
16/10/2017,honduras,1125,catuai,1.38
18/10/2017,honduras,1125,catuai,17.43
18/10/2017,honduras,1157,catuai,15.18
18/10/2017,honduras,1042,mezcla,20.42
19/10/2017,honduras,1171,pacas,0.74
18/10/2017,honduras,741,mezcla,8.72
18/10/2017,honduras,1171,catuai,2.48
18/10/2017,honduras,1180,catuai,1.49
16/10/2017,honduras,1116,catuai,16.78
30/10/2017,honduras,934,pacas,19.27
19/10/2017,honduras,1163,mezcla,0.34
24/10/2017,honduras,1040,bourbon,9.67
18/10/2017,honduras,873,catuai,0
17/10/2017,honduras,1168,mezcla,5.2
24/10/2017,honduras,1188,bourbon,8.19
17/10/2017,honduras,1113,catuai,18.5
18/10/2017,honduras,1020,catuai,16.54
19/10/2017,honduras,1160,mezcla,0
21/09/2017,honduras,1030,java,0.45
29/09/2017,honduras,1092,catuai,6.29
19/09/2017,honduras,1173,catuai,2.67
20/09/2017,honduras,1052,catuai,12.72
26/09/2017,honduras,1042,mezcla,21.18
28/09/2017,honduras,1040,pacas,4.9
29/09/2017,honduras,1157,catuai,24.87
20/09/2017,honduras,900,pacas,28.54
20/09/2017,honduras,873,catuai,0.1
25/09/2017,honduras,1125,catuai,9.62
22/09/2017,honduras,965,catuai,0
28/09/2017,honduras,934,pacas,5.51
21/09/2017,honduras,1168,mezcla,12.34
19/09/2017,honduras,865,catuai,7.87
21/09/2017,honduras,1171,catuai,0.75
29/09/2017,honduras,1198,catuai,3.8
18/09/2017,honduras,1037,catuai,14.51
20/09/2017,honduras,1068,pacamara,36.88
22/09/2017,honduras,886,catuai,6.82
20/09/2017,honduras,1063,catuai,2.31
26/09/2017,honduras,1140,catuai,5.66
19/09/2017,honduras,1108,caturra,29.86
21/09/2017,honduras,1163,mezcla,1
22/09/2017,honduras,980,catuai,7.04
28/09/2017,honduras,1025,pacas,26.71
18/09/2017,honduras,1080,catuai,8.69
21/09/2017,honduras,925,catuai,6.07
19/09/2017,honduras,1171,catuai,10.44
18/09/2017,honduras,1068,catuai,0
20/09/2017,honduras,756,catuai,23.54
20/09/2017,honduras,959,villa sarchi,1.43
