fecha_median,mes,pais,anio,cat_altitud,Aparicion_hojas,Infeccion,Latencia,Lavado,Efecto_inc_defol,Inoculo,carga_fruct,variedad,nutri_adecuada,sombra,date_floracion,date_ini_cosecha,date_fin_cosecha,numdia_floracion,numdia_ini_cosecha,numdia_fin_cosecha,quimicos,poda,incidencia_observada,incidencia_pronosticada,error_t
3/2016,3,republica_dominicana,2016,Media,16,9,8,3,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,24.04,42.25048872,18.2105
4/2016,4,republica_dominicana,2016,Media,14,3,15,1,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,12.58,32.06264706,19.4826
5/2016,5,republica_dominicana,2016,Media,16,12,16,3,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,8.96,20.60264706,11.6426
6/2016,6,republica_dominicana,2016,Media,16,9,16,5,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,17.75,15.02428571,-2.7257
7/2016,7,republica_dominicana,2016,Media,15,9,16,3,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,13.17,25.77264706,12.6026
8/2016,8,republica_dominicana,2016,Media,15,11,15,5,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,23.66,21.19264706,-2.4674
9/2016,9,republica_dominicana,2016,Media,15,12,16,8,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,20.73,31.68264706,10.9526
10/2016,10,republica_dominicana,2016,Media,15,13,16,7,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,22.105,28.75264706,6.6476
11/2016,11,republica_dominicana,2016,Media,16,14,15,10,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,27.9,30.12764706,2.2276
12/2016,12,republica_dominicana,2016,Media,15,9,6,3,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,24.12,35.92264706,11.8026
2/2017,2,republica_dominicana,2017,Media,15,8,0,4,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,15.28,35.23764706,19.9576
3/2017,3,republica_dominicana,2017,Media,16,12,1,6,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,13.91,23.30264706,9.3926
4/2017,4,republica_dominicana,2017,Media,16,12,8,9,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,4.94,8.1209375,3.1809
5/2017,5,republica_dominicana,2017,Media,16,16,14,13,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,9.755,4.417777778,-5.3372
6/2017,6,republica_dominicana,2017,Media,15,10,16,2,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,11.03,15.81928571,4.7893
7/2017,7,republica_dominicana,2017,Media,14,10,15,2,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,13.215,19.05264706,5.8376
8/2017,8,republica_dominicana,2017,Media,16,11,16,4,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,21.73,21.23764706,-0.4924
9/2017,9,republica_dominicana,2017,Media,16,16,16,13,Efecto medio de la incidencia sobre la defoliacion,Inoculum alto,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,35.01,29.75264706,-5.2574
10/2017,10,republica_dominicana,2017,Media,16,14,16,10,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,20.68,43.03264706,22.3526
11/2017,11,republica_dominicana,2017,Media,15,11,14,5,Efecto alto de la incidencia sobre la defoliacion,Inoculum alto,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,47.24,28.70264706,-18.5374
12/2017,12,republica_dominicana,2017,Media,14,6,11,2,Efecto medio de la incidencia sobre la defoliacion,Inoculum alto,baja,susceptible,no,media,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,34.32,50.76048872,16.4405
